1, 1
2, 1
3, 1
4, 1
5, 1
6, 1
7, 1
8, 1
9, 1
10, 1
11, 1
12, 1
13, 1
14, 1
15, 1
16, 1
17, 1
18, 1
19, 1
20, 2
21, 2
22, 2
23, 2
24, 2
25, 2
26, 2
27, 2
28, 2
29, 2
30, 2
31, 2
32, 2
33, 2
34, 2
35, 2
36, 2
37, 2
38, 2
39, 2
40, 2
41, 3
42, 3
43, 3
44, 3
45, 3
46, 3
47, 3
48, 3
49, 3
50, 3
51, 3
52, 3
53, 3
54, 3
55, 3
56, 3
57, 3
58, 3
59, 3
60, 4
61, 4
62, 4
63, 4
64, 4
65, 4
66, 4
67, 4
68, 4
69, 4
70, 4
71, 4
72, 4
73, 4
74, 4
75, 4
76, 5
77, 5
78, 5
79, 5
80, 5
81, 5
82, 5
83, 5
84, 5
85, 5
86, 5
87, 6
88, 6
89, 6
90, 6
91, 6
92, 6
93, 6
94, 6
95, 6
96, 6
97, 6
98, 6
99, 6
100, 6
101, 6
102, 6
103, 6
104, 6
105, 7
106, 7
107, 7
108, 7
109, 7
110, 7
111, 7
112, 7
113, 7
114, 7
115, 7
116, 7
117, 7
118, 7
119, 7
120, 7
121, 7
122, 8
123, 8
124, 8
125, 8
126, 8
127, 8
128, 8
129, 8
130, 8
131, 8
132, 8
133, 8
134, 8
135, 8
136, 8
137, 8
138, 8
139, 8
140, 8
141, 8
142, 8
143, 8
144, 9
145, 9
146, 9
147, 9
148, 9
149, 9
150, 9
151, 9
152, 9
153, 9
154, 9
155, 9
156, 9
157, 9
158, 9
159, 9
160, 9
161, 9
162, 9
163, 9
164, 9
165, 9
166, 9
167, 9
168, 9
169, 10
170, 10
171, 10
172, 10
173, 10
174, 10
175, 10
176, 10
177, 10
178, 10
179, 10
180, 10
181, 10
182, 10
183, 10
184, 10
185, 10
186, 10
187, 10
188, 10
189, 11
190, 11
191, 11
192, 11
193, 11
194, 11
195, 11
196, 11
197, 11
198, 11
199, 11
200, 11
201, 11
202, 11
203, 11
204, 11
205, 12
206, 12
207, 12
208, 12
209, 12
210, 12
211, 12
212, 12
213, 12
214, 12
215, 12
216, 12
217, 12
218, 12
219, 12
220, 12
221, 12
222, 12
223, 12
224, 12
225, 12
226, 12
227, 12
228, 13
229, 13
230, 13
231, 13
232, 13
233, 13
234, 13
235, 13
236, 13
237, 13
238, 13
239, 13
240, 13
241, 14
242, 14
243, 14
244, 14
245, 14
246, 14
247, 14
248, 14
249, 14
250, 14
251, 14
252, 14
253, 14
254, 14
255, 14
256, 14
257, 14
258, 14
259, 14
260, 14
261, 15
262, 15
263, 15
264, 15
265, 15
266, 15
267, 15
268, 15
269, 15
270, 15
271, 15
272, 15
273, 16
274, 16
275, 16
276, 16
277, 16
278, 16
279, 16
280, 16
281, 16
282, 16
283, 16
284, 16
285, 16
286, 16
287, 16
288, 17
289, 17
290, 17
291, 17
292, 17
293, 17
294, 17
295, 17
296, 17
297, 17
298, 17
299, 17
300, 17
301, 17
302, 18
303, 18
304, 18
305, 18
306, 18
307, 18
308, 18
309, 18
310, 18
311, 18
312, 18
313, 18
314, 18
315, 18
316, 18
317, 18
318, 18
319, 18
320, 18
321, 19
322, 19
323, 19
324, 19
325, 19
326, 19
327, 19
328, 19
329, 19
330, 19
331, 19
332, 19
333, 19
334, 19
335, 19
336, 19
337, 19
338, 19
339, 19
340, 19
341, 19
342, 19
343, 19
344, 19
345, 19
346, 19
347, 20
348, 20
349, 20
350, 20
351, 20
352, 20
353, 20
354, 20
355, 20
356, 20
357, 20
358, 20
359, 20
360, 20
361, 20
362, 20
363, 20
364, 20
365, 20
366, 20
367, 20
368, 20
369, 20
370, 20
371, 21
372, 21
373, 21
374, 21
375, 21
376, 21
377, 21
378, 21
379, 21
380, 21
381, 21
382, 21
383, 21
384, 21
385, 21
386, 21
387, 21
388, 21
389, 21
390, 22
391, 22
392, 22
393, 22
394, 22
395, 22
396, 22
397, 22
398, 22
399, 22
400, 22
401, 22
402, 22
403, 22
404, 22
405, 22
406, 22
407, 22
408, 23
409, 23
410, 23
411, 23
412, 23
413, 23
414, 23
415, 23
416, 23
417, 23
418, 23
419, 23
420, 23
421, 23
422, 23
423, 23
424, 23
425, 23
426, 23
427, 23
428, 23
429, 24
430, 24
431, 24
432, 24
433, 24
434, 24
435, 24
436, 24
437, 24
438, 24
439, 24
440, 24
441, 24
442, 24
443, 24
444, 24
445, 24
446, 24
447, 24
448, 24
449, 24
450, 24
451, 24
452, 24
453, 24
454, 24
455, 25
456, 25
457, 25
458, 25
459, 25
460, 25
461, 25
462, 25
463, 25
464, 25
465, 25
466, 25
467, 25
468, 25
469, 25
470, 25
471, 25
472, 25
473, 25
474, 26
475, 26
476, 26
477, 26
478, 26
479, 26
480, 26
481, 26
482, 26
